"mann";"frau"
170,5;162
168,4;154
169,1;153
171,3;160
181,5;165
170,5;158
162,4;167
172,1;165
175,8;163
173,9;160
185,5;156
178,3;166
175,4;166
174,5;155
172;172
180,6;163,6
182,3;163
172;153
171,5;157
182,3;159,1
168,5;162
169,5;166
185,1;171
171,8;159
172,4;164
172,5;167
184,1;156
170,5;150
166,4;153,9
179,9;168
177,9;154
167,5;155
168,3;160
175,8;163,5
173;157
161;151
174,5;161
166,6;157
175,5;159
177,5;160
172,5;158
185,3;167
173,1;158
171,3;159
173,6;157
170,4;163,5
176,4;162
168,6;163
179,5;164
177,1;163
